datetime,position,value
2014-10-30 18:20:03,ai0,0.0037,NE Anemometer 4'
2014-10-30 18:20:03,ai1,-0.00145,SW Anemometer 4'
2014-10-30 18:20:03,ai2,0.46268,SE Anemometer 4'
2014-10-30 18:20:03,ai3,-0.00574,W Anemometer 4'
2014-10-30 18:20:03,ai4,0.00801,Center Anemometer 4'
2014-10-30 18:20:03,ai5,-0.00148,Center Anemometer 7'6
2014-10-30 18:20:03,ai6,0.00763,E Anemometer 4'
2014-10-30 18:20:03,ai7,0.00672,N Anemometer 4'
2014-10-30 18:20:03,ai8,-0.00461,N Anemometer 7'6
2014-10-30 18:20:03,ai9,-0.00105,S Setra
2014-10-30 18:20:03,ai10,-0.00095,E Outer Setra
2014-10-30 18:20:03,ai11,-0.00235,NW P26
2014-10-30 18:20:03,ai12,-0.00098,E Inner Setra
2014-10-30 18:20:03,ai13,-0.001,N Setra
2014-10-30 18:20:04,ai0,-0.00041,NE Anemometer 4'
2014-10-30 18:20:04,ai1,0.00389,SW Anemometer 4'
2014-10-30 18:20:04,ai2,0.48816,SE Anemometer 4'
2014-10-30 18:20:04,ai3,-0.00615,W Anemometer 4'
2014-10-30 18:20:04,ai4,0.0002,Center Anemometer 4'
2014-10-30 18:20:04,ai5,-0.00148,Center Anemometer 7'6
2014-10-30 18:20:04,ai6,0.0031,E Anemometer 4'
2014-10-30 18:20:04,ai7,-0.0052,N Anemometer 4'
2014-10-30 18:20:04,ai8,-0.01406,N Anemometer 7'6
2014-10-30 18:20:04,ai9,-0.00105,S Setra
2014-10-30 18:20:04,ai10,-0.00107,E Outer Setra
2014-10-30 18:20:04,ai11,-0.00243,NW P26
2014-10-30 18:20:04,ai12,-0.00099,E Inner Setra
2014-10-30 18:20:04,ai13,-0.001,N Setra
2014-10-30 18:20:05,ai0,0.00411,NE Anemometer 4'
2014-10-30 18:20:05,ai1,0.00471,SW Anemometer 4'
2014-10-30 18:20:05,ai2,0.45158,SE Anemometer 4'
2014-10-30 18:20:05,ai3,-0.0008,W Anemometer 4'
2014-10-30 18:20:05,ai4,-0.00268,Center Anemometer 4'
2014-10-30 18:20:05,ai5,-0.00723,Center Anemometer 7'6
2014-10-30 18:20:05,ai6,0.00598,E Anemometer 4'
2014-10-30 18:20:05,ai7,0.00343,N Anemometer 4'
2014-10-30 18:20:05,ai8,-0.00378,N Anemometer 7'6
2014-10-30 18:20:05,ai9,-0.00089,S Setra
2014-10-30 18:20:05,ai10,-0.00099,E Outer Setra
2014-10-30 18:20:05,ai11,-0.00241,NW P26
2014-10-30 18:20:05,ai12,-0.00101,E Inner Setra
2014-10-30 18:20:05,ai13,-0.001,N Setra
2014-10-30 18:20:06,ai0,0.00658,NE Anemometer 4'
2014-10-30 18:20:06,ai1,-0.00104,SW Anemometer 4'
2014-10-30 18:20:06,ai2,0.11735,SE Anemometer 4'
2014-10-30 18:20:06,ai3,0.00331,W Anemometer 4'
2014-10-30 18:20:06,ai4,0.0039,Center Anemometer 4'
2014-10-30 18:20:06,ai5,0.00222,Center Anemometer 7'6
2014-10-30 18:20:06,ai6,0.00064,E Anemometer 4'
2014-10-30 18:20:06,ai7,-0.00192,N Anemometer 4'
2014-10-30 18:20:06,ai8,0.00115,N Anemometer 7'6
2014-10-30 18:20:06,ai9,-0.00103,S Setra
2014-10-30 18:20:06,ai10,-0.00099,E Outer Setra
2014-10-30 18:20:06,ai11,-0.00245,NW P26
2014-10-30 18:20:06,ai12,-0.00102,E Inner Setra
2014-10-30 18:20:06,ai13,-0.001,N Setra
2014-10-30 18:20:07,ai0,-0.00452,NE Anemometer 4'
2014-10-30 18:20:07,ai1,0.00266,SW Anemometer 4'
2014-10-30 18:20:07,ai2,0.48734,SE Anemometer 4'
2014-10-30 18:20:07,ai3,0.00208,W Anemometer 4'
2014-10-30 18:20:07,ai4,0.00266,Center Anemometer 4'
2014-10-30 18:20:07,ai5,0.00058,Center Anemometer 7'6
2014-10-30 18:20:07,ai6,0.01667,E Anemometer 4'
2014-10-30 18:20:07,ai7,-0.01384,N Anemometer 4'
2014-10-30 18:20:07,ai8,0.01225,N Anemometer 7'6
2014-10-30 18:20:07,ai9,-0.00101,S Setra
2014-10-30 18:20:07,ai10,-0.00103,E Outer Setra
2014-10-30 18:20:07,ai11,-0.00244,NW P26
2014-10-30 18:20:07,ai12,-0.00103,E Inner Setra
2014-10-30 18:20:07,ai13,-0.001,N Setra
2014-10-30 18:20:08,ai0,-0.0037,NE Anemometer 4'
2014-10-30 18:20:08,ai1,-0.00104,SW Anemometer 4'
2014-10-30 18:20:08,ai2,0.4524,SE Anemometer 4'
2014-10-30 18:20:08,ai3,0.00413,W Anemometer 4'
2014-10-30 18:20:08,ai4,0.00677,Center Anemometer 4'
2014-10-30 18:20:08,ai5,0.00181,Center Anemometer 7'6
2014-10-30 18:20:08,ai6,0.00434,E Anemometer 4'
2014-10-30 18:20:08,ai7,-0.00274,N Anemometer 4'
2014-10-30 18:20:08,ai8,0.00279,N Anemometer 7'6
2014-10-30 18:20:08,ai9,-0.00103,S Setra
2014-10-30 18:20:08,ai10,-0.00108,E Outer Setra
2014-10-30 18:20:08,ai11,-0.00242,NW P26
2014-10-30 18:20:08,ai12,-0.00101,E Inner Setra
2014-10-30 18:20:08,ai13,-0.001,N Setra
2014-10-30 18:20:09,ai0,-0.00041,NE Anemometer 4'
2014-10-30 18:20:09,ai1,-0.00187,SW Anemometer 4'
2014-10-30 18:20:09,ai2,0.46391,SE Anemometer 4'
2014-10-30 18:20:09,ai3,0.00084,W Anemometer 4'
2014-10-30 18:20:09,ai4,0.00061,Center Anemometer 4'
2014-10-30 18:20:09,ai5,-0.00065,Center Anemometer 7'6
2014-10-30 18:20:09,ai6,-0.00018,E Anemometer 4'
2014-10-30 18:20:09,ai7,-0.00562,N Anemometer 4'
2014-10-30 18:20:09,ai8,0.00279,N Anemometer 7'6
2014-10-30 18:20:09,ai9,-0.00105,S Setra
2014-10-30 18:20:09,ai10,-0.00103,E Outer Setra
2014-10-30 18:20:09,ai11,-0.00242,NW P26
2014-10-30 18:20:09,ai12,-0.00101,E Inner Setra
2014-10-30 18:20:09,ai13,-0.001,N Setra
2014-10-30 18:20:10,ai0,-0.00246,NE Anemometer 4'
2014-10-30 18:20:10,ai1,0.00019,SW Anemometer 4'
2014-10-30 18:20:10,ai2,0.4857,SE Anemometer 4'
2014-10-30 18:20:10,ai3,-0.00039,W Anemometer 4'
2014-10-30 18:20:10,ai4,0.00595,Center Anemometer 4'
2014-10-30 18:20:10,ai5,0.00346,Center Anemometer 7'6
2014-10-30 18:20:10,ai6,-0.0006,E Anemometer 4'
2014-10-30 18:20:10,ai7,-0.00109,N Anemometer 4'
2014-10-30 18:20:10,ai8,-0.0042,N Anemometer 7'6
2014-10-30 18:20:10,ai9,-0.00099,S Setra
2014-10-30 18:20:10,ai10,-0.00092,E Outer Setra
2014-10-30 18:20:10,ai11,-0.00249,NW P26
2014-10-30 18:20:10,ai12,-0.00102,E Inner Setra
2014-10-30 18:20:10,ai13,-0.001,N Setra
2014-10-30 18:20:11,ai0,-0.0037,NE Anemometer 4'
2014-10-30 18:20:11,ai1,0.00595,SW Anemometer 4'
2014-10-30 18:20:11,ai2,0.46761,SE Anemometer 4'
2014-10-30 18:20:11,ai3,0.00084,W Anemometer 4'
2014-10-30 18:20:11,ai4,-0.00063,Center Anemometer 4'
2014-10-30 18:20:11,ai5,0.00551,Center Anemometer 7'6
2014-10-30 18:20:11,ai6,0.00105,E Anemometer 4'
2014-10-30 18:20:11,ai7,-0.00274,N Anemometer 4'
2014-10-30 18:20:11,ai8,0.00074,N Anemometer 7'6
2014-10-30 18:20:11,ai9,-0.00107,S Setra
2014-10-30 18:20:11,ai10,-0.00116,E Outer Setra
2014-10-30 18:20:11,ai11,-0.00246,NW P26
2014-10-30 18:20:11,ai12,-0.00101,E Inner Setra
2014-10-30 18:20:11,ai13,-0.001,N Setra
2014-10-30 18:20:12,ai0,0.00329,NE Anemometer 4'
2014-10-30 18:20:12,ai1,-0.00022,SW Anemometer 4'
2014-10-30 18:20:12,ai2,0.43801,SE Anemometer 4'
2014-10-30 18:20:12,ai3,0.00166,W Anemometer 4'
2014-10-30 18:20:12,ai4,-0.00063,Center Anemometer 4'
2014-10-30 18:20:12,ai5,0.0014,Center Anemometer 7'6
2014-10-30 18:20:12,ai6,-0.00265,E Anemometer 4'
2014-10-30 18:20:12,ai7,0.00178,N Anemometer 4'
2014-10-30 18:20:12,ai8,-0.00461,N Anemometer 7'6
2014-10-30 18:20:12,ai9,-0.00096,S Setra
2014-10-30 18:20:12,ai10,-0.00099,E Outer Setra
2014-10-30 18:20:12,ai11,-0.00245,NW P26
2014-10-30 18:20:12,ai12,-0.00098,E Inner Setra
2014-10-30 18:20:12,ai13,-0.001,N Setra
2014-10-30 18:20:13,ai0,0.00411,NE Anemometer 4'
2014-10-30 18:20:13,ai1,0.00553,SW Anemometer 4'
2014-10-30 18:20:13,ai2,0.15024,SE Anemometer 4'
2014-10-30 18:20:13,ai3,0.00125,W Anemometer 4'
2014-10-30 18:20:13,ai4,0.01047,Center Anemometer 4'
2014-10-30 18:20:13,ai5,-0.00641,Center Anemometer 7'6
2014-10-30 18:20:13,ai6,0.00146,E Anemometer 4'
2014-10-30 18:20:13,ai7,0.00096,N Anemometer 4'
2014-10-30 18:20:13,ai8,-0.00502,N Anemometer 7'6
2014-10-30 18:20:13,ai9,-0.00092,S Setra
2014-10-30 18:20:13,ai10,-0.00084,E Outer Setra
2014-10-30 18:20:13,ai11,-0.00243,NW P26
2014-10-30 18:20:13,ai12,-0.001,E Inner Setra
2014-10-30 18:20:13,ai13,-0.001,N Setra
2014-10-30 18:20:14,ai0,-0.00123,NE Anemometer 4'
2014-10-30 18:20:14,ai1,0.00019,SW Anemometer 4'
2014-10-30 18:20:14,ai2,0.43719,SE Anemometer 4'
2014-10-30 18:20:14,ai3,0.00166,W Anemometer 4'
2014-10-30 18:20:14,ai4,-0.00186,Center Anemometer 4'
2014-10-30 18:20:14,ai5,0.00222,Center Anemometer 7'6
2014-10-30 18:20:14,ai6,0.00269,E Anemometer 4'
2014-10-30 18:20:14,ai7,0.00302,N Anemometer 4'
2014-10-30 18:20:14,ai8,0.00279,N Anemometer 7'6
2014-10-30 18:20:14,ai9,-0.00091,S Setra
2014-10-30 18:20:14,ai10,-0.00103,E Outer Setra
2014-10-30 18:20:14,ai11,-0.00243,NW P26
2014-10-30 18:20:14,ai12,-0.00098,E Inner Setra
2014-10-30 18:20:14,ai13,-0.001,N Setra
2014-10-30 18:20:15,ai0,0.00658,NE Anemometer 4'
2014-10-30 18:20:15,ai1,0.00389,SW Anemometer 4'
2014-10-30 18:20:15,ai2,0.47748,SE Anemometer 4'
2014-10-30 18:20:15,ai3,-0.00574,W Anemometer 4'
2014-10-30 18:20:15,ai4,-0.00268,Center Anemometer 4'
2014-10-30 18:20:15,ai5,-0.0023,Center Anemometer 7'6
2014-10-30 18:20:15,ai6,0.00763,E Anemometer 4'
2014-10-30 18:20:15,ai7,-0.00068,N Anemometer 4'
2014-10-30 18:20:15,ai8,0.00403,N Anemometer 7'6
2014-10-30 18:20:15,ai9,-0.00084,S Setra
2014-10-30 18:20:15,ai10,-0.00086,E Outer Setra
2014-10-30 18:20:15,ai11,-0.00242,NW P26
2014-10-30 18:20:15,ai12,-0.00099,E Inner Setra
2014-10-30 18:20:15,ai13,-0.001,N Setra
2014-10-30 18:20:16,ai0,-0.01521,NE Anemometer 4'
2014-10-30 18:20:16,ai1,0.00225,SW Anemometer 4'
2014-10-30 18:20:16,ai2,0.45322,SE Anemometer 4'
2014-10-30 18:20:16,ai3,-0.0008,W Anemometer 4'
2014-10-30 18:20:16,ai4,-0.0072,Center Anemometer 4'
2014-10-30 18:20:16,ai5,0.00099,Center Anemometer 7'6
2014-10-30 18:20:16,ai6,-0.00799,E Anemometer 4'
2014-10-30 18:20:16,ai7,0.00055,N Anemometer 4'
2014-10-30 18:20:16,ai8,-0.00091,N Anemometer 7'6
2014-10-30 18:20:16,ai9,-0.00096,S Setra
2014-10-30 18:20:16,ai10,-0.00074,E Outer Setra
2014-10-30 18:20:16,ai11,-0.00243,NW P26
2014-10-30 18:20:16,ai12,-0.00106,E Inner Setra
